제목,작성일,조회수,분류,docid,mtgHmeDd,sno,mtgMtrRegSno,popup_url
"미만성거대B세포림프종(DLBCL)에서, 완전반응(CR) 상태에서 시행한 고용량 메토트렉세이트(HD-MTX)와 자가조혈모세포이식을 2차 치료로 판단하고 투여한 tisagenlecleucel(품명: 킴리아주) 요양급여 인정여부(1사례)",2025-02-27,384,공개사례,5,20250227,1,0014,https://www.hira.or.kr/rc/insu/insuadtcrtr/InsuAdtCrtrPopup.do?mtgHmeDd=20250227&sno=1&mtgMtrRegSno=0014
소아의 골수형성이상증후군에 투여한 azacitidine(품명: 비다자주) 요양급여 인정여부(1사례),2025-02-27,163,공개사례,6,20250227,1,0015,https://www.hira.or.kr/rc/insu/insuadtcrtr/InsuAdtCrtrPopup.do?mtgHmeDd=20250227&sno=1&mtgMtrRegSno=0015
심실 보조장치 치료술(VAD) 요양급여 대상여부(10사례),2025-01-31,29,공개사례,7,20250131,1,0001,https://www.hira.or.kr/rc/insu/insuadtcrtr/InsuAdtCrtrPopup.do?mtgHmeDd=20250131&sno=1&mtgMtrRegSno=0001
Eculizumab 주사제(품명: 솔리리스주 등) 요양급여 대상여부(5사례),2025-01-31,37,공개사례,8,20250131,1,0002,https://www.hira.or.kr/rc/insu/insuadtcrtr/InsuAdtCrtrPopup.do?mtgHmeDd=20250131&sno=1&mtgMtrRegSno=0002
"진료내역 등 참조, 상·하악골 양성종양(낭종포함)절제술 인정여부에 대하여(11사례)",2025-01-31,1479,공개사례,9,20250131,1,0003,https://www.hira.or.kr/rc/insu/insuadtcrtr/InsuAdtCrtrPopup.do?mtgHmeDd=20250131&sno=1&mtgMtrRegSno=0003
Burosumab 주사제(품명: 크리스비타주) 요양급여 대상 여부(2사례),2025-01-31,20,공개사례,10,20250131,1,0004,https://www.hira.or.kr/rc/insu/insuadtcrtr/InsuAdtCrtrPopup.do?mtgHmeDd=20250131&sno=1&mtgMtrRegSno=0004
Nusinersen sodium 주사제(품명: 스핀라자주) 요양급여 대상 여부(35사례),2025-01-31,21,공개사례,1,20250131,1,0005,https://www.hira.or.kr/rc/insu/insuadtcrtr/InsuAdtCrtrPopup.do?mtgHmeDd=20250131&sno=1&mtgMtrRegSno=0005
심율동 전환 제세동기 거치술(ICD) 및 심장재동기화치료(CRT) 요양급여 대상여부(5사례),2025-01-31,13,공개사례,2,20250131,1,0006,https://www.hira.or.kr/rc/insu/insuadtcrtr/InsuAdtCrtrPopup.do?mtgHmeDd=20250131&sno=1&mtgMtrRegSno=0006
면역관용요법(Immune Tolerance Induction) 요양급여 대상여부(2사례),2025-01-31,24,공개사례,3,20250131,1,0007,https://www.hira.or.kr/rc/insu/insuadtcrtr/InsuAdtCrtrPopup.do?mtgHmeDd=20250131&sno=1&mtgMtrRegSno=0007
조혈모세포이식 요양급여(필수)_선별급여 대상 승인여부(49사례),2025-01-31,12,공개사례,4,20250131,1,0008,https://www.hira.or.kr/rc/insu/insuadtcrtr/InsuAdtCrtrPopup.do?mtgHmeDd=20250131&sno=1&mtgMtrRegSno=0008
"[자동차보험][24-11-B-11] 진료내역 및 청구경향 참조, 한방 다종시술 인정여부(4사례)",2024-12-30,2337,공개사례,5,20241230,4,0001,https://www.hira.or.kr/rc/insu/insuadtcrtr/InsuAdtCrtrPopup.do?mtgHmeDd=20241230&sno=4&mtgMtrRegSno=0001
Onasemnogene abeparvovec 주사제(품명:졸겐스마주) 성과평가,2024-12-24,45,공개사례,6,20241224,1,0001,https://www.hira.or.kr/rc/insu/insuadtcrtr/InsuAdtCrtrPopup.do?mtgHmeDd=20241224&sno=1&mtgMtrRegSno=0001
Eculizumab 주사제(품명:  솔리리스주 등) 요양급여 대상여부,2024-12-24,42,공개사례,7,20241224,1,0002,https://www.hira.or.kr/rc/insu/insuadtcrtr/InsuAdtCrtrPopup.do?mtgHmeDd=20241224&sno=1&mtgMtrRegSno=0002
심실 보조장치 치료술(VAD) 요양급여 대상여부(19사례),2024-12-24,16,공개사례,8,20241224,1,0003,https://www.hira.or.kr/rc/insu/insuadtcrtr/InsuAdtCrtrPopup.do?mtgHmeDd=20241224&sno=1&mtgMtrRegSno=0003
Nusinersen sodium 주사제(품명:  스핀라자주) 및 Risdiplam 경구제(품명:  에브리스디건조시럽) 요양급여 대상 여부,2024-12-24,42,공개사례,9,20241224,1,0004,https://www.hira.or.kr/rc/insu/insuadtcrtr/InsuAdtCrtrPopup.do?mtgHmeDd=20241224&sno=1&mtgMtrRegSno=0004
심율동 전환 제세동기 거치술(ICD) 및 심장재동기화치료(CRT) 요양급여 대상여부(4사례),2024-12-24,13,공개사례,10,20241224,1,0005,https://www.hira.or.kr/rc/insu/insuadtcrtr/InsuAdtCrtrPopup.do?mtgHmeDd=20241224&sno=1&mtgMtrRegSno=0005
Burosumab 주사제(품명  크리스비타주) 요양급여 대상 여부,2024-12-24,12,공개사례,1,20241224,1,0006,https://www.hira.or.kr/rc/insu/insuadtcrtr/InsuAdtCrtrPopup.do?mtgHmeDd=20241224&sno=1&mtgMtrRegSno=0006
조혈모세포이식 요양급여(필수) 선별급여 대상 승인여부(72사례),2024-12-24,12,공개사례,2,20241224,1,0007,https://www.hira.or.kr/rc/insu/insuadtcrtr/InsuAdtCrtrPopup.do?mtgHmeDd=20241224&sno=1&mtgMtrRegSno=0007
누014 프로칼시토닌 나. 정밀면역검사(정량) 요양급여 인정여부(5사례),2024-12-24,53,공개사례,3,20241224,1,0008,https://www.hira.or.kr/rc/insu/insuadtcrtr/InsuAdtCrtrPopup.do?mtgHmeDd=20241224&sno=1&mtgMtrRegSno=0008
중심골(요추) 일부 부위의 골밀도 검사결과를 기준으로 청구한 denosumab 주사제(품명: 프롤리아프리필드시린지) 요양급여 인정여부(2사례),2024-12-24,6220,공개사례,4,20241224,1,0009,https://www.hira.or.kr/rc/insu/insuadtcrtr/InsuAdtCrtrPopup.do?mtgHmeDd=20241224&sno=1&mtgMtrRegSno=0009
근골격계 상병에 통증조절을 위해 동일기관 반복 입원한 사례 입원료 인정여부(12사례),2024-12-24,190,공개사례,5,20241224,1,0010,https://www.hira.or.kr/rc/insu/insuadtcrtr/InsuAdtCrtrPopup.do?mtgHmeDd=20241224&sno=1&mtgMtrRegSno=0010
관절조영 인정여부(23사례),2024-12-24,61,공개사례,6,20241224,1,0011,https://www.hira.or.kr/rc/insu/insuadtcrtr/InsuAdtCrtrPopup.do?mtgHmeDd=20241224&sno=1&mtgMtrRegSno=0011
흉곽출구증후군(Thoracic Outlet Syndrome)에 실시한 수술적 치료의 수가산정방법(3사례),2024-12-24,22,공개사례,7,20241224,1,0012,https://www.hira.or.kr/rc/insu/insuadtcrtr/InsuAdtCrtrPopup.do?mtgHmeDd=20241224&sno=1&mtgMtrRegSno=0012
인공관절 삽입물 주위 골절 발생 시 재치환술과 동시 시행한 ‘자60가 사지골절정복술’ 인정여부(5사례),2024-12-24,1463,공개사례,8,20241224,1,0013,https://www.hira.or.kr/rc/insu/insuadtcrtr/InsuAdtCrtrPopup.do?mtgHmeDd=20241224&sno=1&mtgMtrRegSno=0013
골전이암 등 근골격계 악성 종양 수술 시 ‘자28-1 악성 골종양의 광범위 절제술’인정여부 및 수가산정방법(3사례),2024-12-24,202,공개사례,9,20241224,1,0014,https://www.hira.or.kr/rc/insu/insuadtcrtr/InsuAdtCrtrPopup.do?mtgHmeDd=20241224&sno=1&mtgMtrRegSno=0014
Burosumab 주사제(품명: 크리스비타주) 요양급여 대상 여부,2024-12-02,47,공개사례,10,20241202,1,0001,https://www.hira.or.kr/rc/insu/insuadtcrtr/InsuAdtCrtrPopup.do?mtgHmeDd=20241202&sno=1&mtgMtrRegSno=0001
Eculizumab 주사제(품명: 솔리리스주 등) 및 Ravulizumab(품명: 울토미리스주 등) 요양급여 대상여부,2024-12-02,55,공개사례,1,20241202,1,0002,https://www.hira.or.kr/rc/insu/insuadtcrtr/InsuAdtCrtrPopup.do?mtgHmeDd=20241202&sno=1&mtgMtrRegSno=0002
심실 보조장치 치료술(VAD) 요양급여 대상여부,2024-12-02,33,공개사례,2,20241202,1,0003,https://www.hira.or.kr/rc/insu/insuadtcrtr/InsuAdtCrtrPopup.do?mtgHmeDd=20241202&sno=1&mtgMtrRegSno=0003
"Nusinersen sodium 주사제(품명: 스핀라자주) 및 Risdiplam 경구제(품명: 에브리스디건조시럽), Onasemnogene abeparvovec 주사제(품명: 졸겐스마주) 요양급여 대상 여부",2024-12-02,54,공개사례,3,20241202,1,0004,https://www.hira.or.kr/rc/insu/insuadtcrtr/InsuAdtCrtrPopup.do?mtgHmeDd=20241202&sno=1&mtgMtrRegSno=0004
후두경검사와 동시에 산정한 마14 후두내주입 인정여부,2024-12-02,95,공개사례,4,20241202,1,0005,https://www.hira.or.kr/rc/insu/insuadtcrtr/InsuAdtCrtrPopup.do?mtgHmeDd=20241202&sno=1&mtgMtrRegSno=0005
유방암 재발병변 없이 BRCA 유전자 돌연변이 양성으로 시행한 위험감소 유방전절제술 인정여부,2024-12-02,43,공개사례,5,20241202,1,0006,https://www.hira.or.kr/rc/insu/insuadtcrtr/InsuAdtCrtrPopup.do?mtgHmeDd=20241202&sno=1&mtgMtrRegSno=0006
유방암 진단 없이 BRCA 유전자 돌연변이 양성으로 시행한 위험감소 유방전절제술 인정여부,2024-12-02,40,공개사례,6,20241202,1,0007,https://www.hira.or.kr/rc/insu/insuadtcrtr/InsuAdtCrtrPopup.do?mtgHmeDd=20241202&sno=1&mtgMtrRegSno=0007
난소암 환자에서 유방 악성종양병변 없이 BRCA 유전자 돌연변이 양성으로 시행한 위험감소 유방전절제술 인정여부,2024-12-02,29,공개사례,7,20241202,1,0008,https://www.hira.or.kr/rc/insu/insuadtcrtr/InsuAdtCrtrPopup.do?mtgHmeDd=20241202&sno=1&mtgMtrRegSno=0008
Voretigene neparvovec 주사제(품명: 럭스터나주) 요양급여 대상 여부,2024-12-02,32,공개사례,8,20241202,1,0009,https://www.hira.or.kr/rc/insu/insuadtcrtr/InsuAdtCrtrPopup.do?mtgHmeDd=20241202&sno=1&mtgMtrRegSno=0009
조혈모세포이식 요양급여(필수)/선별급여 대상 승인여부,2024-12-02,26,공개사례,9,20241202,1,0010,https://www.hira.or.kr/rc/insu/insuadtcrtr/InsuAdtCrtrPopup.do?mtgHmeDd=20241202&sno=1&mtgMtrRegSno=0010
심율동 전환 제세동기 거치술(ICD) 및 심장재동기화치료(CRT) 요양급여 대상여부,2024-12-02,15,공개사례,10,20241202,1,0011,https://www.hira.or.kr/rc/insu/insuadtcrtr/InsuAdtCrtrPopup.do?mtgHmeDd=20241202&sno=1&mtgMtrRegSno=0011
"바25아 척수신경총, 신경근 및 신경절차단술-척수신경 후지 요양급여 인정여부",2024-12-02,4016,공개사례,1,20241202,1,0012,https://www.hira.or.kr/rc/insu/insuadtcrtr/InsuAdtCrtrPopup.do?mtgHmeDd=20241202&sno=1&mtgMtrRegSno=0012
암상병에 골스캔 시 청구한 ‘다319가 골스캔-전신 [정량분석]’ 인정여부,2024-12-02,166,공개사례,2,20241202,1,0013,https://www.hira.or.kr/rc/insu/insuadtcrtr/InsuAdtCrtrPopup.do?mtgHmeDd=20241202&sno=1&mtgMtrRegSno=0013
관절질환 상병에 골스캔 시 청구한 ‘다319가 골스캔-전신 [정량분석]’ 인정여부,2024-12-02,295,공개사례,3,20241202,1,0014,https://www.hira.or.kr/rc/insu/insuadtcrtr/InsuAdtCrtrPopup.do?mtgHmeDd=20241202&sno=1&mtgMtrRegSno=0014
Eculizumab 주사제(품명: 솔리리스주 등) 요양급여 대상여부(2사례),2024-10-31,93,공개사례,4,20241031,1,0001,https://www.hira.or.kr/rc/insu/insuadtcrtr/InsuAdtCrtrPopup.do?mtgHmeDd=20241031&sno=1&mtgMtrRegSno=0001
Nusinersen sodium 주사제(품명: 스핀라자주) 요양급여 대상여부 및 Risdiplam 경구제(품명: 에브리스디건조시럽) 요양급여 대상여부(36사례),2024-10-31,71,공개사례,5,20241031,1,0002,https://www.hira.or.kr/rc/insu/insuadtcrtr/InsuAdtCrtrPopup.do?mtgHmeDd=20241031&sno=1&mtgMtrRegSno=0002
심실 보조장치 치료술(VAD) 요양급여 대상여부(9사례),2024-10-31,46,공개사례,6,20241031,1,0003,https://www.hira.or.kr/rc/insu/insuadtcrtr/InsuAdtCrtrPopup.do?mtgHmeDd=20241031&sno=1&mtgMtrRegSno=0003
Voretigene neparvovec 주사제(품명:럭스터나주) 성과평가(4사례),2024-10-31,55,공개사례,7,20241031,1,0004,https://www.hira.or.kr/rc/insu/insuadtcrtr/InsuAdtCrtrPopup.do?mtgHmeDd=20241031&sno=1&mtgMtrRegSno=0004
Voretigene neparvovec 주사제(품명: 럭스터나주) 요양급여 대상여부(1사례),2024-10-31,43,공개사례,8,20241031,1,0005,https://www.hira.or.kr/rc/insu/insuadtcrtr/InsuAdtCrtrPopup.do?mtgHmeDd=20241031&sno=1&mtgMtrRegSno=0005
면역관용요법(Immune Tolerance Induction) 요양급여 대상여부(2사례),2024-10-31,51,공개사례,9,20241031,1,0006,https://www.hira.or.kr/rc/insu/insuadtcrtr/InsuAdtCrtrPopup.do?mtgHmeDd=20241031&sno=1&mtgMtrRegSno=0006
조혈모세포이식 요양급여(필수)/선별급여 대상여부(79사례),2024-10-31,47,공개사례,10,20241031,1,0007,https://www.hira.or.kr/rc/insu/insuadtcrtr/InsuAdtCrtrPopup.do?mtgHmeDd=20241031&sno=1&mtgMtrRegSno=0007
심율동 전환 제세동기 거치술(ICD) 및 심장재동기화치료(CRT) 요양급여 대상여부(7사례),2024-10-31,43,공개사례,1,20241031,1,0008,https://www.hira.or.kr/rc/insu/insuadtcrtr/InsuAdtCrtrPopup.do?mtgHmeDd=20241031&sno=1&mtgMtrRegSno=0008
갑상선암 수술 후 유미흉 진단 하에 투여한 Octreotide 주사제(품명: 옥트스타틴주) 인정여부(2사례),2024-10-31,51,공개사례,2,20241031,1,0009,https://www.hira.or.kr/rc/insu/insuadtcrtr/InsuAdtCrtrPopup.do?mtgHmeDd=20241031&sno=1&mtgMtrRegSno=0009
갑상선수질암의 재발판정을 위해 촬영한 F-18 FDG-PET 인정여부(1사례),2024-10-31,54,공개사례,3,20241031,1,0010,https://www.hira.or.kr/rc/insu/insuadtcrtr/InsuAdtCrtrPopup.do?mtgHmeDd=20241031&sno=1&mtgMtrRegSno=0010
갑상선암수술시 비회귀성 후두신경에 시행된 후두신경 감시술 인정여부(1사례),2024-10-31,430,공개사례,4,20241031,1,0011,https://www.hira.or.kr/rc/insu/insuadtcrtr/InsuAdtCrtrPopup.do?mtgHmeDd=20241031&sno=1&mtgMtrRegSno=0011
미주신경 신경초종(Schwannoma) 수술에 시행된 후두신경 감시술 인정여부(1사례),2024-10-31,317,공개사례,5,20241031,1,0012,https://www.hira.or.kr/rc/insu/insuadtcrtr/InsuAdtCrtrPopup.do?mtgHmeDd=20241031&sno=1&mtgMtrRegSno=0012
"진료내역 참조, ‘자656다 만성폐쇄성병변에 대한 경피적 관상동맥스텐트삽입술’인정여부(1사례)",2024-10-31,39,공개사례,6,20241031,1,0013,https://www.hira.or.kr/rc/insu/insuadtcrtr/InsuAdtCrtrPopup.do?mtgHmeDd=20241031&sno=1&mtgMtrRegSno=0013
경피적 관상동맥확장술 시 사용된 GUIDE EXTENSION CATHETER 인정여부(1사례),2024-10-31,211,공개사례,7,20241031,1,0014,https://www.hira.or.kr/rc/insu/insuadtcrtr/InsuAdtCrtrPopup.do?mtgHmeDd=20241031&sno=1&mtgMtrRegSno=0014
"검사결과 참조, 신장이식 전 다회 시행한 ‘마102-다 치료적성분채집술-혈장’ 요양급여 인정여부(1사례)",2024-10-31,462,공개사례,8,20241031,1,0015,https://www.hira.or.kr/rc/insu/insuadtcrtr/InsuAdtCrtrPopup.do?mtgHmeDd=20241031&sno=1&mtgMtrRegSno=0015
