parent_code,sub_code,sub_name
AA100,―  AA100004,"초진진찰료-치과의원, 보건의료원 내 치과"
AA100,―  AA100003,"초진진찰료-치과의원, 보건의료원 내 치과"
AA106,―  AA106954,초진진찰료-상급종병에 설치된 경우를 제외한 치과대학부속치과병원
AA106,―  AA106953,초진진찰료-상급종병에 설치된 경우를 제외한 치과대학부속치과병원
AA106,―  AA106950,초진진찰료-상급종병에 설치된 경우를 제외한 치과대학부속치과병원
AA106,―  AA106914,초진진찰료-상급종병에 설치된 경우를 제외한 치과대학부속치과병원
AA106,―  AA106913,초진진찰료-상급종병에 설치된 경우를 제외한 치과대학부속치과병원
AA106,―  AA106910,초진진찰료-상급종병에 설치된 경우를 제외한 치과대학부속치과병원
AA106,―  AA106904,초진진찰료-상급종병에 설치된 경우를 제외한 치과대학부속치과병원
AA106,―  AA106903,초진진찰료-상급종병에 설치된 경우를 제외한 치과대학부속치과병원
AA106,―  AA106900,초진진찰료-상급종병에 설치된 경우를 제외한 치과대학부속치과병원
AA106,―  AA106652,초진진찰료-상급종병에 설치된 경우를 제외한 치과대학부속치과병원
AA106,―  AA106650,초진진찰료-상급종병에 설치된 경우를 제외한 치과대학부속치과병원
AA106,―  AA106612,초진진찰료-상급종병에 설치된 경우를 제외한 치과대학부속치과병원
AA106,―  AA106610,초진진찰료-상급종병에 설치된 경우를 제외한 치과대학부속치과병원
AA106,―  AA106602,초진진찰료-상급종병에 설치된 경우를 제외한 치과대학부속치과병원
AA106,―  AA106600,초진진찰료-상급종병에 설치된 경우를 제외한 치과대학부속치과병원
AA106,―  AA106152,초진진찰료-상급종병에 설치된 경우를 제외한 치과대학부속치과병원
AA106,―  AA106150,초진진찰료-상급종병에 설치된 경우를 제외한 치과대학부속치과병원
AA106,―  AA106112,초진진찰료-상급종병에 설치된 경우를 제외한 치과대학부속치과병원
AA106,―  AA106110,초진진찰료-상급종병에 설치된 경우를 제외한 치과대학부속치과병원
AA106,―  AA106102,초진진찰료-상급종병에 설치된 경우를 제외한 치과대학부속치과병원
AA106,―  AA106100,초진진찰료-상급종병에 설치된 경우를 제외한 치과대학부속치과병원
AA106,―  AA106055,초진진찰료-상급종병에 설치된 경우를 제외한 치과대학부속치과병원
AA106,―  AA106054,초진진찰료-상급종병에 설치된 경우를 제외한 치과대학부속치과병원
AA106,―  AA106053,초진진찰료-상급종병에 설치된 경우를 제외한 치과대학부속치과병원
AA106,―  AA106050,초진진찰료-상급종병에 설치된 경우를 제외한 치과대학부속치과병원
AA106,―  AA106015,초진진찰료-상급종병에 설치된 경우를 제외한 치과대학부속치과병원
AA106,―  AA106014,초진진찰료-상급종병에 설치된 경우를 제외한 치과대학부속치과병원
AA106,―  AA106013,초진진찰료-상급종병에 설치된 경우를 제외한 치과대학부속치과병원
AA106,―  AA106010,초진진찰료-상급종병에 설치된 경우를 제외한 치과대학부속치과병원
AA106,―  AA106005,초진진찰료-상급종병에 설치된 경우를 제외한 치과대학부속치과병원
AA106,―  AA106004,초진진찰료-상급종병에 설치된 경우를 제외한 치과대학부속치과병원
AA106,―  AA106003,초진진찰료-상급종병에 설치된 경우를 제외한 치과대학부속치과병원
AA107,―  AA107954,초진진찰료-상급종합병원에 설치된 치과대학부속치과병원
AA107,―  AA107953,초진진찰료-상급종합병원에 설치된 치과대학부속치과병원
AA107,―  AA107950,초진진찰료-상급종합병원에 설치된 치과대학부속치과병원
AA107,―  AA107914,초진진찰료-상급종합병원에 설치된 치과대학부속치과병원
AA107,―  AA107913,초진진찰료-상급종합병원에 설치된 치과대학부속치과병원
AA107,―  AA107910,초진진찰료-상급종합병원에 설치된 치과대학부속치과병원
AA107,―  AA107904,초진진찰료-상급종합병원에 설치된 치과대학부속치과병원
AA107,―  AA107903,초진진찰료-상급종합병원에 설치된 치과대학부속치과병원
AA107,―  AA107900,초진진찰료-상급종합병원에 설치된 치과대학부속치과병원
AA107,―  AA107652,초진진찰료-상급종합병원에 설치된 치과대학부속치과병원
AA107,―  AA107650,초진진찰료-상급종합병원에 설치된 치과대학부속치과병원
AA107,―  AA107612,초진진찰료-상급종합병원에 설치된 치과대학부속치과병원
AA107,―  AA107610,초진진찰료-상급종합병원에 설치된 치과대학부속치과병원
AA107,―  AA107602,초진진찰료-상급종합병원에 설치된 치과대학부속치과병원
AA107,―  AA107600,초진진찰료-상급종합병원에 설치된 치과대학부속치과병원
AA107,―  AA107152,초진진찰료-상급종합병원에 설치된 치과대학부속치과병원
AA107,―  AA107150,초진진찰료-상급종합병원에 설치된 치과대학부속치과병원
AA107,―  AA107112,초진진찰료-상급종합병원에 설치된 치과대학부속치과병원
AA107,―  AA107110,초진진찰료-상급종합병원에 설치된 치과대학부속치과병원
AA107,―  AA107102,초진진찰료-상급종합병원에 설치된 치과대학부속치과병원
AA107,―  AA107100,초진진찰료-상급종합병원에 설치된 치과대학부속치과병원
AA107,―  AA107055,초진진찰료-상급종합병원에 설치된 치과대학부속치과병원
AA107,―  AA107054,초진진찰료-상급종합병원에 설치된 치과대학부속치과병원
AA107,―  AA107053,초진진찰료-상급종합병원에 설치된 치과대학부속치과병원
AA107,―  AA107050,초진진찰료-상급종합병원에 설치된 치과대학부속치과병원
AA107,―  AA107015,초진진찰료-상급종합병원에 설치된 치과대학부속치과병원
AA107,―  AA107014,초진진찰료-상급종합병원에 설치된 치과대학부속치과병원
AA107,―  AA107013,초진진찰료-상급종합병원에 설치된 치과대학부속치과병원
AA107,―  AA107010,초진진찰료-상급종합병원에 설치된 치과대학부속치과병원
AA107,―  AA107005,초진진찰료-상급종합병원에 설치된 치과대학부속치과병원
AA107,―  AA107004,초진진찰료-상급종합병원에 설치된 치과대학부속치과병원
AA107,―  AA107003,초진진찰료-상급종합병원에 설치된 치과대학부속치과병원
AA109,―  AA109954,"초진진찰료-치과병원, 병원·요양병원·한방병원 내 치과"
AA109,―  AA109953,"초진진찰료-치과병원, 병원·요양병원·한방병원 내 치과"
AA109,―  AA109950,"초진진찰료-치과병원, 병원·요양병원·한방병원 내 치과"
AA109,―  AA109914,"초진진찰료-치과병원, 병원·요양병원·한방병원 내 치과"
AA109,―  AA109913,"초진진찰료-치과병원, 병원·요양병원·한방병원 내 치과"
AA109,―  AA109910,"초진진찰료-치과병원, 병원·요양병원·한방병원 내 치과"
AA109,―  AA109904,"초진진찰료-치과병원, 병원·요양병원·한방병원 내 치과"
AA109,―  AA109903,"초진진찰료-치과병원, 병원·요양병원·한방병원 내 치과"
AA109,―  AA109900,"초진진찰료-치과병원, 병원·요양병원·한방병원 내 치과"
AA109,―  AA109652,"초진진찰료-치과병원, 병원·요양병원·한방병원 내 치과"
AA109,―  AA109650,"초진진찰료-치과병원, 병원·요양병원·한방병원 내 치과"
AA109,―  AA109622,"초진진찰료-치과병원, 병원·요양병원·한방병원 내 치과"
AA109,―  AA109620,"초진진찰료-치과병원, 병원·요양병원·한방병원 내 치과"
AA109,―  AA109612,"초진진찰료-치과병원, 병원·요양병원·한방병원 내 치과"
AA109,―  AA109610,"초진진찰료-치과병원, 병원·요양병원·한방병원 내 치과"
AA109,―  AA109602,"초진진찰료-치과병원, 병원·요양병원·한방병원 내 치과"
AA109,―  AA109600,"초진진찰료-치과병원, 병원·요양병원·한방병원 내 치과"
AA109,―  AA109152,"초진진찰료-치과병원, 병원·요양병원·한방병원 내 치과"
AA109,―  AA109150,"초진진찰료-치과병원, 병원·요양병원·한방병원 내 치과"
AA109,―  AA109122,"초진진찰료-치과병원, 병원·요양병원·한방병원 내 치과"
AA109,―  AA109120,"초진진찰료-치과병원, 병원·요양병원·한방병원 내 치과"
AA109,―  AA109112,"초진진찰료-치과병원, 병원·요양병원·한방병원 내 치과"
AA109,―  AA109110,"초진진찰료-치과병원, 병원·요양병원·한방병원 내 치과"
AA109,―  AA109102,"초진진찰료-치과병원, 병원·요양병원·한방병원 내 치과"
AA109,―  AA109100,"초진진찰료-치과병원, 병원·요양병원·한방병원 내 치과"
AA109,―  AA109054,"초진진찰료-치과병원, 병원·요양병원·한방병원 내 치과"
AA109,―  AA109053,"초진진찰료-치과병원, 병원·요양병원·한방병원 내 치과"
AA109,―  AA109050,"초진진찰료-치과병원, 병원·요양병원·한방병원 내 치과"
AA109,―  AA109014,"초진진찰료-치과병원, 병원·요양병원·한방병원 내 치과"
AA109,―  AA109013,"초진진찰료-치과병원, 병원·요양병원·한방병원 내 치과"
AA109,―  AA109010,"초진진찰료-치과병원, 병원·요양병원·한방병원 내 치과"
AA109,―  AA109004,"초진진찰료-치과병원, 병원·요양병원·한방병원 내 치과"
AA109,―  AA109003,"초진진찰료-치과병원, 병원·요양병원·한방병원 내 치과"
AA154,―  AA154652,"초진진찰료-의원,보건의료원 내 의과"
AA154,―  AA154650,"초진진찰료-의원,보건의료원 내 의과"
AA154,―  AA154632,"초진진찰료-의원,보건의료원 내 의과"
AA154,―  AA154630,"초진진찰료-의원,보건의료원 내 의과"
AA154,―  AA154622,"초진진찰료-의원,보건의료원 내 의과"
AA154,―  AA154621,초진진찰료-보건의료원 내 의과
AA154,―  AA154620,"초진진찰료-의원,보건의료원 내 의과"
AA154,―  AA154612,"초진진찰료-의원,보건의료원 내 의과"
AA154,―  AA154611,초진진찰료-보건의료원 내 의과
AA154,―  AA154610,"초진진찰료-의원,보건의료원 내 의과"
AA154,―  AA154602,"초진진찰료-의원,보건의료원 내 의과"
AA154,―  AA154600,"초진진찰료-의원,보건의료원 내 의과"
AA154,―  AA154152,"초진진찰료-의원,보건의료원 내 의과"
AA154,―  AA154150,"초진진찰료-의원,보건의료원 내 의과"
AA154,―  AA154132,"초진진찰료-의원,보건의료원 내 의과"
AA154,―  AA154130,"초진진찰료-의원,보건의료원 내 의과"
AA154,―  AA154122,"초진진찰료-의원,보건의료원 내 의과"
AA154,―  AA154121,초진진찰료-보건의료원 내 의과
AA154,―  AA154120,"초진진찰료-의원,보건의료원 내 의과"
AA154,―  AA154112,"초진진찰료-의원,보건의료원 내 의과"
AA154,―  AA154111,초진진찰료-보건의료원 내 의과
AA154,―  AA154110,"초진진찰료-의원,보건의료원 내 의과"
AA154,―  AA154102,"초진진찰료-의원,보건의료원 내 의과"
AA154,―  AA154100,"초진진찰료-의원,보건의료원 내 의과"
AA154,―  AA154055,"초진진찰료-의원,보건의료원 내 의과"
AA154,―  AA154054,"초진진찰료-의원,보건의료원 내 의과"
AA154,―  AA154053,"초진진찰료-의원,보건의료원 내 의과"
AA154,―  AA154050,"초진진찰료-의원,보건의료원 내 의과"
AA154,―  AA154035,"초진진찰료-의원,보건의료원 내 의과"
AA154,―  AA154034,"초진진찰료-의원,보건의료원 내 의과"
AA154,―  AA154033,"초진진찰료-의원,보건의료원 내 의과"
AA154,―  AA154030,"초진진찰료-의원,보건의료원 내 의과"
AA154,―  AA154015,"초진진찰료-의원,보건의료원 내 의과"
AA154,―  AA154014,"초진진찰료-의원,보건의료원 내 의과"
AA154,―  AA154013,"초진진찰료-의원,보건의료원 내 의과"
AA154,―  AA154011,초진진찰료-보건의료원 내 의과
AA154,―  AA154010,"초진진찰료-의원,보건의료원 내 의과"
AA154,―  AA154005,"초진진찰료-의원,보건의료원 내 의과"
AA154,―  AA154004,"초진진찰료-의원,보건의료원 내 의과"
AA154,―  AA154003,"초진진찰료-의원,보건의료원 내 의과"
AA155,―  AA155950,"초진진찰료-병원, 요양병원·한방병원·치과병원 내 의과"
AA155,―  AA155910,"초진진찰료-병원, 요양병원·한방병원·치과병원 내 의과"
AA155,―  AA155900,"초진진찰료-병원, 요양병원·한방병원·치과병원 내 의과"
AA155,―  AA155652,"초진진찰료-병원, 요양병원·한방병원·치과병원 내 의과"
AA155,―  AA155650,"초진진찰료-병원, 요양병원·한방병원·치과병원 내 의과"
AA155,―  AA155622,"초진진찰료-병원, 요양병원·한방병원·치과병원 내 의과"
AA155,―  AA155620,"초진진찰료-병원, 요양병원·한방병원·치과병원 내 의과"
AA155,―  AA155612,"초진진찰료-병원, 요양병원·한방병원·치과병원 내 의과"
AA155,―  AA155610,"초진진찰료-병원, 요양병원·한방병원·치과병원 내 의과"
AA155,―  AA155602,"초진진찰료-병원, 요양병원·한방병원·치과병원 내 의과"
AA155,―  AA155600,"초진진찰료-병원, 요양병원·한방병원·치과병원 내 의과"
AA155,―  AA155152,"초진진찰료-병원, 요양병원·한방병원·치과병원 내 의과"
AA155,―  AA155150,"초진진찰료-병원, 요양병원·한방병원·치과병원 내 의과"
AA155,―  AA155122,"초진진찰료-병원, 요양병원·한방병원·치과병원 내 의과"
AA155,―  AA155120,"초진진찰료-병원, 요양병원·한방병원·치과병원 내 의과"
AA155,―  AA155112,"초진진찰료-병원, 요양병원·한방병원·치과병원 내 의과"
AA155,―  AA155110,"초진진찰료-병원, 요양병원·한방병원·치과병원 내 의과"
AA155,―  AA155102,"초진진찰료-병원, 요양병원·한방병원·치과병원 내 의과"
AA155,―  AA155100,"초진진찰료-병원, 요양병원·한방병원·치과병원 내 의과"
AA155,―  AA155055,"초진진찰료-병원, 요양병원·한방병원·치과병원 내 의과"
AA155,―  AA155054,"초진진찰료-병원, 요양병원·한방병원·치과병원 내 의과"
AA155,―  AA155053,"초진진찰료-병원, 요양병원·한방병원·치과병원 내 의과"
AA155,―  AA155050,"초진진찰료-병원, 요양병원·한방병원·치과병원 내 의과"
AA155,―  AA155015,"초진진찰료-병원, 요양병원·한방병원·치과병원 내 의과"
AA155,―  AA155014,"초진진찰료-병원, 요양병원·한방병원·치과병원 내 의과"
AA155,―  AA155013,"초진진찰료-병원, 요양병원·한방병원·치과병원 내 의과"
AA155,―  AA155010,"초진진찰료-병원, 요양병원·한방병원·치과병원 내 의과"
AA155,―  AA155005,"초진진찰료-병원, 요양병원·한방병원·치과병원 내 의과"
AA155,―  AA155004,"초진진찰료-병원, 요양병원·한방병원·치과병원 내 의과"
AA155,―  AA155003,"초진진찰료-병원, 요양병원·한방병원·치과병원 내 의과"
AA156,―  AA156954,초진진찰료-종합병원
AA156,―  AA156953,초진진찰료-종합병원
AA156,―  AA156950,초진진찰료-종합병원
AA156,―  AA156914,초진진찰료-종합병원
AA156,―  AA156913,초진진찰료-종합병원
AA156,―  AA156910,초진진찰료-종합병원
AA156,―  AA156904,초진진찰료-종합병원
AA156,―  AA156903,초진진찰료-종합병원
AA156,―  AA156900,초진진찰료-종합병원
AA156,―  AA156652,초진진찰료-종합병원
AA156,―  AA156650,초진진찰료-종합병원
AA156,―  AA156612,초진진찰료-종합병원
AA156,―  AA156610,초진진찰료-종합병원
AA156,―  AA156602,초진진찰료-종합병원
AA156,―  AA156600,초진진찰료-종합병원
AA156,―  AA156152,초진진찰료-종합병원
AA156,―  AA156150,초진진찰료-종합병원
AA156,―  AA156112,초진진찰료-종합병원
AA156,―  AA156110,초진진찰료-종합병원
AA156,―  AA156102,초진진찰료-종합병원
AA156,―  AA156100,초진진찰료-종합병원
AA156,―  AA156055,초진진찰료-종합병원
AA156,―  AA156054,초진진찰료-종합병원
AA156,―  AA156053,초진진찰료-종합병원
AA156,―  AA156050,초진진찰료-종합병원
AA156,―  AA156015,초진진찰료-종합병원
AA156,―  AA156014,초진진찰료-종합병원
AA156,―  AA156013,초진진찰료-종합병원
AA156,―  AA156010,초진진찰료-종합병원
AA156,―  AA156005,초진진찰료-종합병원
AA156,―  AA156004,초진진찰료-종합병원
AA156,―  AA156003,초진진찰료-종합병원
AA157,―  AA157954,초진진찰료-상급종합병원
AA157,―  AA157953,초진진찰료-상급종합병원
AA157,―  AA157950,초진진찰료-상급종합병원
AA157,―  AA157914,초진진찰료-상급종합병원
AA157,―  AA157913,초진진찰료-상급종합병원
AA157,―  AA157910,초진진찰료-상급종합병원
AA157,―  AA157904,초진진찰료-상급종합병원
AA157,―  AA157903,초진진찰료-상급종합병원
AA157,―  AA157900,초진진찰료-상급종합병원
AA157,―  AA157652,초진진찰료-상급종합병원
AA157,―  AA157650,초진진찰료-상급종합병원
AA157,―  AA157612,초진진찰료-상급종합병원
AA157,―  AA157610,초진진찰료-상급종합병원
AA157,―  AA157602,초진진찰료-상급종합병원
AA157,―  AA157600,초진진찰료-상급종합병원
AA157,―  AA157152,초진진찰료-상급종합병원
AA157,―  AA157150,초진진찰료-상급종합병원
AA157,―  AA157112,초진진찰료-상급종합병원
AA157,―  AA157110,초진진찰료-상급종합병원
AA157,―  AA157102,초진진찰료-상급종합병원
AA157,―  AA157100,초진진찰료-상급종합병원
AA157,―  AA157055,초진진찰료-상급종합병원
AA157,―  AA157054,초진진찰료-상급종합병원
AA157,―  AA157053,초진진찰료-상급종합병원
AA157,―  AA157050,초진진찰료-상급종합병원
AA157,―  AA157015,초진진찰료-상급종합병원
AA157,―  AA157014,초진진찰료-상급종합병원
AA157,―  AA157013,초진진찰료-상급종합병원
AA157,―  AA157010,초진진찰료-상급종합병원
AA157,―  AA157005,초진진찰료-상급종합병원
AA157,―  AA157004,초진진찰료-상급종합병원
AA157,―  AA157003,초진진찰료-상급종합병원
AA200,―  AA200954,"재진진찰료-치과의원, 보건의료원 내 치과"
AA200,―  AA200953,"재진진찰료-치과의원, 보건의료원 내 치과"
AA200,―  AA200950,"재진진찰료-치과의원, 보건의료원 내 치과"
AA200,―  AA200934,"재진진찰료-치과의원, 보건의료원 내 치과"
AA200,―  AA200933,"재진진찰료-치과의원, 보건의료원 내 치과"
AA200,―  AA200930,"재진진찰료-치과의원, 보건의료원 내 치과"
AA200,―  AA200914,"재진진찰료-치과의원, 보건의료원 내 치과"
AA200,―  AA200913,"재진진찰료-치과의원, 보건의료원 내 치과"
AA200,―  AA200911,"재진진찰료-치과의원, 보건의료원 내 치과"
AA200,―  AA200910,"재진진찰료-치과의원, 보건의료원 내 치과"
AA200,―  AA200904,"재진진찰료-치과의원, 보건의료원 내 치과"
AA200,―  AA200903,"재진진찰료-치과의원, 보건의료원 내 치과"
AA200,―  AA200900,"재진진찰료-치과의원, 보건의료원 내 치과"
AA200,―  AA200652,"재진진찰료-치과의원, 보건의료원 내 치과"
AA200,―  AA200650,"재진진찰료-치과의원, 보건의료원 내 치과"
AA200,―  AA200632,"재진진찰료-치과의원, 보건의료원 내 치과"
AA200,―  AA200630,"재진진찰료-치과의원, 보건의료원 내 치과"
AA200,―  AA200622,"재진진찰료-치과의원, 보건의료원 내 치과"
AA200,―  AA200621,"재진진찰료-치과의원, 보건의료원 내 치과"
AA200,―  AA200620,"재진진찰료-치과의원, 보건의료원 내 치과"
AA200,―  AA200612,"재진진찰료-치과의원, 보건의료원 내 치과"
AA200,―  AA200611,"재진진찰료-치과의원, 보건의료원 내 치과"
AA200,―  AA200610,"재진진찰료-치과의원, 보건의료원 내 치과"
AA200,―  AA200602,"재진진찰료-치과의원, 보건의료원 내 치과"
AA200,―  AA200600,"재진진찰료-치과의원, 보건의료원 내 치과"
AA200,―  AA200152,"재진진찰료-치과의원, 보건의료원 내 치과"
AA200,―  AA200150,"재진진찰료-치과의원, 보건의료원 내 치과"
AA200,―  AA200132,"재진진찰료-치과의원, 보건의료원 내 치과"
AA200,―  AA200130,"재진진찰료-치과의원, 보건의료원 내 치과"
AA200,―  AA200122,"재진진찰료-치과의원, 보건의료원 내 치과"
AA200,―  AA200121,"재진진찰료-치과의원, 보건의료원 내 치과"
AA200,―  AA200120,"재진진찰료-치과의원, 보건의료원 내 치과"
AA200,―  AA200112,"재진진찰료-치과의원, 보건의료원 내 치과"
AA200,―  AA200111,"재진진찰료-치과의원, 보건의료원 내 치과"
AA200,―  AA200110,"재진진찰료-치과의원, 보건의료원 내 치과"
AA200,―  AA200102,"재진진찰료-치과의원, 보건의료원 내 치과"
AA200,―  AA200100,"재진진찰료-치과의원, 보건의료원 내 치과"
AA200,―  AA200090,"재진진찰료-치과의원, 보건의료원 내 치과"
AA200,―  AA200080,"재진진찰료-치과의원, 보건의료원 내 치과"
AA200,―  AA200054,"재진진찰료-치과의원, 보건의료원 내 치과"
AA200,―  AA200053,"재진진찰료-치과의원, 보건의료원 내 치과"
AA200,―  AA200050,"재진진찰료-치과의원, 보건의료원 내 치과"
AA200,―  AA200034,"재진진찰료-치과의원, 보건의료원 내 치과"
AA200,―  AA200033,"재진진찰료-치과의원, 보건의료원 내 치과"
AA200,―  AA200030,"재진진찰료-치과의원, 보건의료원 내 치과"
AA200,―  AA200014,"재진진찰료-치과의원, 보건의료원 내 치과"
AA200,―  AA200013,"재진진찰료-치과의원, 보건의료원 내 치과"
AA200,―  AA200011,"재진진찰료-치과의원, 보건의료원 내 치과"
AA200,―  AA200010,"재진진찰료-치과의원, 보건의료원 내 치과"
AA200,―  AA200004,"재진진찰료-치과의원, 보건의료원 내 치과"
AA200,―  AA200003,"재진진찰료-치과의원, 보건의료원 내 치과"
AA200,―  AA200002,재진진찰료-부속 의료기관 치과의원
AA206,―  AA206954,재진진찰료-상급종병에 설치된 경우를 제외한 치과대학부속치과병원
AA206,―  AA206953,재진진찰료-상급종병에 설치된 경우를 제외한 치과대학부속치과병원
AA206,―  AA206950,재진진찰료-상급종병에 설치된 경우를 제외한 치과대학부속치과병원
AA206,―  AA206914,재진진찰료-상급종병에 설치된 경우를 제외한 치과대학부속치과병원
AA206,―  AA206913,재진진찰료-상급종병에 설치된 경우를 제외한 치과대학부속치과병원
AA206,―  AA206910,재진진찰료-상급종병에 설치된 경우를 제외한 치과대학부속치과병원
AA206,―  AA206904,재진진찰료-상급종병에 설치된 경우를 제외한 치과대학부속치과병원
AA206,―  AA206903,재진진찰료-상급종병에 설치된 경우를 제외한 치과대학부속치과병원
AA206,―  AA206900,재진진찰료-상급종병에 설치된 경우를 제외한 치과대학부속치과병원
AA206,―  AA206652,재진진찰료-상급종병에 설치된 경우를 제외한 치과대학부속치과병원
AA206,―  AA206650,재진진찰료-상급종병에 설치된 경우를 제외한 치과대학부속치과병원
AA206,―  AA206612,재진진찰료-상급종병에 설치된 경우를 제외한 치과대학부속치과병원
AA206,―  AA206610,재진진찰료-상급종병에 설치된 경우를 제외한 치과대학부속치과병원
AA206,―  AA206602,재진진찰료-상급종병에 설치된 경우를 제외한 치과대학부속치과병원
AA206,―  AA206600,재진진찰료-상급종병에 설치된 경우를 제외한 치과대학부속치과병원
AA206,―  AA206152,재진진찰료-상급종병에 설치된 경우를 제외한 치과대학부속치과병원
AA206,―  AA206150,재진진찰료-상급종병에 설치된 경우를 제외한 치과대학부속치과병원
AA206,―  AA206112,재진진찰료-상급종병에 설치된 경우를 제외한 치과대학부속치과병원
AA206,―  AA206110,재진진찰료-상급종병에 설치된 경우를 제외한 치과대학부속치과병원
AA206,―  AA206102,재진진찰료-상급종병에 설치된 경우를 제외한 치과대학부속치과병원
AA206,―  AA206100,재진진찰료-상급종병에 설치된 경우를 제외한 치과대학부속치과병원
AA206,―  AA206090,재진진찰료-상급종병에 설치된 경우를 제외한 치과대학부속치과병원
AA206,―  AA206080,재진진찰료-상급종병에 설치된 경우를 제외한 치과대학부속치과병원
AA206,―  AA206055,재진진찰료-상급종병에 설치된 경우를 제외한 치과대학부속치과병원
AA206,―  AA206054,재진진찰료-상급종병에 설치된 경우를 제외한 치과대학부속치과병원
AA206,―  AA206053,재진진찰료-상급종병에 설치된 경우를 제외한 치과대학부속치과병원
AA206,―  AA206050,재진진찰료-상급종병에 설치된 경우를 제외한 치과대학부속치과병원
AA206,―  AA206015,재진진찰료-상급종병에 설치된 경우를 제외한 치과대학부속치과병원
AA206,―  AA206014,재진진찰료-상급종병에 설치된 경우를 제외한 치과대학부속치과병원
AA206,―  AA206013,재진진찰료-상급종병에 설치된 경우를 제외한 치과대학부속치과병원
AA206,―  AA206010,재진진찰료-상급종병에 설치된 경우를 제외한 치과대학부속치과병원
AA206,―  AA206005,재진진찰료-상급종병에 설치된 경우를 제외한 치과대학부속치과병원
AA206,―  AA206004,재진진찰료-상급종병에 설치된 경우를 제외한 치과대학부속치과병원
AA206,―  AA206003,재진진찰료-상급종병에 설치된 경우를 제외한 치과대학부속치과병원
AA207,―  AA207954,재진진찰료-상급종합병원에 설치된 치과대학부속치과병원
AA207,―  AA207953,재진진찰료-상급종합병원에 설치된 치과대학부속치과병원
AA207,―  AA207950,재진진찰료-상급종합병원에 설치된 치과대학부속치과병원
AA207,―  AA207914,재진진찰료-상급종합병원에 설치된 치과대학부속치과병원
